"Members – Detailed Hospitality Expenditures Report – Jeneroux, Matt – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0244129,Costco,38.9900
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0240976,Safeway,2.1000
2020/05/09,Edmonton,2,To meet constituents,Hosting a meeting,M0240503,Starbucks,13.2500
2020/06/06,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Safeway,6.6000
2020/06/08,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Starbucks,16.5000
2020/06/11,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Cafe Blackbird,14.9500
2020/06/12,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Krew Cafe,9.8400
2020/06/13,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Starbucks,7.1000
2020/06/14,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Starbucks,7.1000
2020/06/16,Edmonton,2,To meet constituents,Hosting a meeting,M0240503,Starbucks,11.8500
2020/06/17,Edmonton,1,To meet constituents,Hosting a meeting,M0240503,Cafe Blackbird,13.7500
2020/06/18,Edmonton,1,To meet constituents,Hosting a meeting,M0240521,Hart's Table & Bar,48.6200
2020/06/18,Edmonton,1,To meet constituents,Hosting a meeting,M0240521,Credo,9.0500
2020/06/19,Edmonton,1,To meet constituents,Hosting a meeting,M0240521,Starbucks,7.5000
2020/06/21,Edmonton,2,To meet constituents,Hosting a meeting,M0240521,Starbucks,23.6500
2020/06/26,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Bicyclette,15.0500
2020/06/27,Edmonton,2,To meet constituents,Hosting a meeting,M0241781,Starbucks,14.2500
2020/06/27,Edmonton,2,To meet constituents,Hosting a meeting,M0241781,State & Main,49.6100
2020/06/28,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Safeway,6.6000
2020/07/02,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,The Provincial Pub,35.4400
2020/07/03,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Starbucks,9.5000
2020/07/05,Edmonton,2,To meet constituents,Hosting a meeting,M0241781,Starbucks,11.8500
2020/07/09,Edmonton,1,To meet constituents,Hosting a meeting,M0241781,Second Cup,8.6500
2020/07/10,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,9.1000
2020/07/15,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Toast Culture,46.9700
2020/07/16,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,12.0500
2020/07/17,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,8.2000
2020/07/19,Edmonton,2,To meet constituents,Hosting a meeting,M0245253,safeway,6.6000
2020/07/22,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,New York Bagel Cafe,75.6300
2020/07/25,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Starbucks,9.5000
2020/07/25,Edmonton,2,To meet constituents,Hosting a meeting,M0243866,Credo Coffee,9.4500
2020/07/29,Edmonton,2,To meet constituents,Hosting a meeting,M0244126,Starbucks,10.3000
2020/08/08,Edmonton,2,To meet constituents,Hosting a meeting,M0245253,starbucks,7.1000
2020/08/09,Edmonton,3,To meet constituents,Hosting a meeting,M0245253,Starbucks,11.8500
2020/08/12,Edmonton,3,To meet visitors of Member’s office,Hosting a staff event,M0245255,costco,38.9900
2020/08/15,Edmonton,2,To meet constituents,Hosting a meeting,M0245253,Peters Drive In,34.4500
2020/08/18,Edmonton,2,To meet constituents,Hosting a meeting,M0246668,Starbucks,7.1000
2020/08/21,Ottawa,3,To meet visitors of Member’s office,Hosting a staff event,M0245255,Shoppers Drug Mart,6.7800
2020/08/27,Edmonton,2,To meet constituents,Hosting a meeting,M0246696,Earl's,16.2000
2020/08/28,Edmonton,2,To meet constituents,Hosting a meeting,M0246696,Starbucks,7.5000
2020/08/28,Edmonton,2,To meet constituents,Hosting a meeting,M0246668,McDonalds,2.0000
2020/09/01,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Provincial Pub,59.2900
2020/09/03,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,New York Bagel Cafe,79.8600
2020/09/04,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Good Earth Coffeehouse,5.4500
2020/09/05,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Credo,7.1500
2020/09/07,Edmonton,3,To meet constituents,Hosting a meeting,M0247339,A & W,27.8500
2020/09/10,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Starbucks,7.1000
2020/09/13,Edmonton,2,To meet constituents,Hosting a meeting,M0247335,Starbucks,9.9000
2020/09/13,Edmonton,3,To meet constituents,Hosting a meeting,M0247339,Saratoga Restaurant,61.7800
2020/09/16,Edmonton,1,To meet constituents,Hosting a meeting,M0247969,The Provincial Pub,30.6000
2020/09/20,Edmonton,1,To meet constituents,Hosting a meeting,M0247969,Starbucks,9.5000
2020/09/20,Edmonton,2,To meet constituents,Hosting a meeting,M0247969,Barb & Ernie's Restaurant,59.6600
2020/09/21,Edmonton,1,To meet constituents,Hosting a meeting,M0247969,The Provincial Pub,31.0000
2020/09/22,Edmonton,3,To meet constituents,Hosting a meeting,M0247969,A & W,27.8500
