"Members – Detailed Hospitality Expenditures Report – Sajjan, Harjit S. – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/03/09,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0247417,Tim Hortons,20.46
2020/03/09,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0247417,Independent,9.99
2020/03/09,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0247417,IMS Market,6.37
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0247417,Parliament Restaurant,4.70
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0247417,Tim Hortons,14.12
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0247417,Parliamentary Restaurant,1.80
2020/07/01,Vancouver,200,To meet constituents,Hosting a town hall or community event,M0241858,Costco,155.98
2020/07/01,Vancouver,200,To meet constituents,Hosting a town hall or community event,M0240900,Cloud Nine Cotton Candy Company Corp,950.00
2020/07/01,Vancouver,200,To meet constituents,Hosting a town hall or community event,M0241012,London Drugs,23.74
2020/07/10,Vancouver,300,To meet constituents,Hosting a town hall or community event,M0242159,Cloud Nine Cotton Candy Company,895.00
2020/08/29,Vancouver,150,To meet constituents,Hosting a town hall or community event,M0245789,Buckets Ice Cream,875.00
2020/08/29,Vancouver,150,To meet constituents,Hosting a town hall or community event,M0245789,Cloud Nine Cotton Candy Company,575.00
2020/09/12,Vancouver,150,To meet constituents,Hosting a town hall or community event,M0246897,"Buckets Ice Cream ",875.00
2020/09/12,Vancouver,150,To meet constituents,Hosting a town hall or community event,M0246897,London Drugs,151.17
2020/09/12,Vancouver,150,To meet constituents,Hosting a town hall or community event,M0246897,Real Canadian Superstore,22.22
