"Members – Detailed Hospitality Expenditures Report – Simms, Scott – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Grand Falls-Windsor,0,To meet visitors of Member’s office,Hosting a meeting,M0243980,Walmart,9.9700
2020/04/01,Grand Falls-Windsor,0,To meet visitors of Member’s office,Hosting a meeting,M0243980,North Atlantic,4.3000
2020/04/01,Grand Falls-Windsor,0,To meet visitors of Member’s office,Hosting a meeting,M0243980,Ultramar,4.7900
2020/06/17,Gander,2,To meet constituents,Hosting a meeting,M0240373,Rosie's Restaurant,35.8800
2020/07/10,Gander,2,To meet constituents,Hosting a meeting,M0243307,Rosies Restaurant,30.0500
2020/07/20,St. John's,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0243282,Courtyard By Marriott,132.2800
2020/07/29,Gander,6,To meet constituents,Hosting a meeting,M0243714,Harvey's,99.8500
2020/08/14,Grand Falls-Windsor,4,To meet constituents,Hosting a meeting,M0244821,Wayne's World Ltd.,48.7200
2020/08/30,Twillingate,20,"To discuss business of the House, caucus and committees",Hosting a meeting,M0247660,Sobeys,104.9700
2020/08/30,Twillingate,20,"To discuss business of the House, caucus and committees",Hosting a meeting,M0247660,Costco,111.9400
2020/08/30,Twillingate,20,"To discuss business of the House, caucus and committees",Hosting a meeting,M0247660,Independent,30.7500
2020/08/31,Twillingate,17,"To discuss business of the House, caucus and committees",Hosting a meeting,M0246454,Anchor Inn,458.8500
